"timestamp","ip","protocol","port","hostname","tag","version","asn","geo","region","city","naics","sic","ok","name","cluster_name","status","build_hash","build_timestamp","build_snapshot","lucene_version","tagline","sector"
"2018-03-24 04:23:12","103.28.39.59","tcp",9200,,"elasticsearch","1.7.3",131353,"VN","HA NOI","HANOI",0,0,,"Paul Patterson","graylog2",200,"05d4530971ef0ea46d0f4fa6ee64dbc8df659682","2015-10-15T09:14:17Z","false","4.10.4","You Know, for Search","Communications"
"2018-03-24 04:23:13","115.84.179.239","tcp",9200,,"elasticsearch","1.5.2",38731,"VN","HA NOI","HANOI",0,0,,"Rock","elasticsearch",200,"62ff9868b4c8a0c45860bebb259e21980778ab1c","2015-04-27T09:21:06Z","false","4.10.4","You Know, for Search","Communications"
"2018-03-24 04:24:21","14.225.3.212","tcp",9200,,"elasticsearch","5.6.5",45899,"VN","HA NOI","HANOI",0,0,,"e3QnCLH","elasticsearch",,"6a37571",,"false","6.6.1","You Know, for Search","Communications"
"2018-03-24 04:24:23","45.124.95.157","tcp",9200,,"elasticsearch","6.1.1",45899,"VN","HA NOI","HANOI",0,0,,"Hdtg500","elasticsearch",,"bd92e7f",,"false","7.1.0","You Know, for Search","Communications"
"2018-03-24 04:24:28","103.53.169.150","tcp",9200,"dc169.kdata.vn","elasticsearch","6.2.2",7643,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,0,,"elasticsearch3","kdata",,"10b1edd",,"false","7.2.1","You Know, for Search","Communications"
"2018-03-24 04:24:41","118.69.190.70","tcp",9200,,"elasticsearch","6.2.2",18403,"VN","HA NOI","HANOI",518111,737401,,"node-test-1","thomson",,"10b1edd",,"false","7.2.1","You Know, for Search","Communications"
"2018-03-24 04:24:48","203.162.71.101","tcp",9200,"static.vnpt.vn","elasticsearch","2.4.5",45899,"VN","HA NOI","HANOI",0,0,,"backup","123thue",,"c849dd13904f53e63e88efc33b2ceeda0b6a1276","2017-04-24T16:18:17Z","false","5.5.4","You Know, for Search","Communications"
"2018-03-24 04:25:20","222.255.237.226","tcp",9200,"static.vnpt.vn","elasticsearch","1.7.4",7643,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,0,,"Ashcan","elasticsearch",200,"0d3159b9fc8bc8e367c5c40c09c2a57c0032b32e","2015-12-15T11:25:18Z","false","4.10.4","You Know, for Search","Communications"
"2018-03-24 04:25:57","61.28.230.148","tcp",9200,,"elasticsearch","5.2.2",38244,"VN","HA NOI","HANOI",0,0,,"node3","elasticsearch",,"f9d9b74",,"false","6.4.1","You Know, for Search","Communications"
"2018-03-24 04:25:57","124.158.4.38","tcp",9200,,"elasticsearch","1.7.6",38732,"VN","HA NOI","HANOI",0,0,,"Peregrine","elasticsearchDac",200,"c730b59357f8ebc555286794dcd90b3411f517c9","2016-11-18T15:21:16Z","false","4.10.4","You Know, for Search","Communications"
"2018-03-24 04:25:58","103.82.36.62","tcp",9200,,"elasticsearch","5.6.8",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,0,,"N48bit7","elasticsearch",,"688ecce",,"false","6.6.1","You Know, for Search","Communications"
