timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,initiator_spi,responder_spi,next_payload,exchange_type,flags,message_id,next_payload2,domain_of_interpretation,protocol_id,spi_size,notify_message_type
3/24/2018 0:17,113.161.75.211,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,7c6ef75eb531c165,11,5,0,0,0,0,,0,14
3/24/2018 0:17,103.21.120.8,udp,500,,isakmp-vulnerable,131368,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,4b14bfed3d65e770,11,5,0,0,0,0,,0,14
3/24/2018 0:17,118.70.161.168,udp,500,,isakmp-vulnerable,18403,VN,HA NOI,HANOI,518111,737401,3e35c70729dfedef,a84bd3859124cd11,11,5,0,0,0,0,,0,14
3/24/2018 0:17,171.228.250.180,udp,500,,isakmp-vulnerable,7552,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,6c67b1d235746a22,11,5,0,0,0,0,,0,14
3/24/2018 0:17,14.240.205.118,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,d55c41414ac28c0d,11,5,0,0,0,0,,0,14
3/24/2018 0:17,123.30.176.1,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,4e7b20bc3d817e96,11,5,0,0,0,0,,0,14
3/24/2018 0:17,115.74.197.103,udp,500,,isakmp-vulnerable,7552,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,8f8792a1ed10325c,11,5,0,0,0,0,,0,14
3/24/2018 0:17,58.186.35.33,udp,500,,isakmp-vulnerable,18403,VN,HO CHI MINH,THANH PHO HO CHI MINH,518111,737401,3e35c70729dfedef,a2176031327b3db4,11,5,0,0,0,0,,0,14
3/24/2018 0:18,103.253.90.4,udp,500,,isakmp-vulnerable,131396,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,ed6475f33478c36a,11,5,0,0,0,0,,0,14
3/24/2018 0:18,183.91.28.65,udp,500,static.cmcti.vn,isakmp-vulnerable,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,4ac6bd68b2cbca61,11,5,0,0,0,0,,0,14
3/24/2018 0:18,123.27.224.32,udp,500,localhost,isakmp-vulnerable,45899,VN,HAI PHONG,HAI PHONG,0,0,3e35c70729dfedef,9a4a35f9ac48a93a,11,5,0,0,0,0,,0,14
3/24/2018 0:18,175.106.1.42,udp,500,,isakmp-vulnerable,55306,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,b285be3d05d96c6d,11,5,0,0,0,0,,0,14
3/24/2018 0:18,123.25.241.36,udp,500,static.vdc.vn,isakmp-vulnerable,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,11d69f4aae3745b2,11,5,0,0,0,0,,0,14
3/24/2018 0:18,118.70.169.59,udp,500,,isakmp-vulnerable,18403,VN,HA NOI,HANOI,518111,737401,3e35c70729dfedef,253c901abe9a49f2,11,5,0,0,0,0,,0,14
3/24/2018 0:19,115.79.52.82,udp,500,,isakmp-vulnerable,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,fa165f752787912b,11,5,0,0,0,0,,0,14
3/24/2018 0:19,113.161.186.210,udp,500,,isakmp-vulnerable,45899,VN,LAM DONG,DA LAT,0,0,3e35c70729dfedef,e9f956145bcb6502,11,5,0,0,0,0,,0,14
3/24/2018 0:19,113.160.133.125,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,0f8684693ce6e4d2,11,5,0,0,0,0,,0,14
3/24/2018 0:20,203.162.145.200,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,YEN BAI,NAM CO,339113,384101,3e35c70729dfedef,dc6369f01fc31667,11,5,0,0,0,0,,0,14
3/24/2018 0:20,220.231.89.38,udp,500,localhost,isakmp-vulnerable,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,47a14c251fea943f,11,5,0,0,0,0,,0,14
3/24/2018 0:20,113.160.133.178,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,c06318519121c2ca,11,5,0,0,0,0,,0,14
3/24/2018 0:20,113.160.170.62,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,NGHE AN,VINH,0,0,3e35c70729dfedef,1d32b9e56e655d5d,11,5,0,0,0,0,,0,14
3/24/2018 0:20,113.168.160.56,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,8d0871a87bea761f,11,5,0,0,0,0,,0,14
3/24/2018 0:20,1.55.243.20,udp,500,,isakmp-vulnerable,18403,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,b825257db81b8864,11,5,0,0,0,0,,0,14
3/24/2018 0:20,222.255.91.198,udp,500,,isakmp-vulnerable,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,9d6b452acad5159d,11,5,0,0,0,0,,0,14
3/24/2018 0:20,113.20.115.160,udp,500,static.cmcti.vn,isakmp-vulnerable,45903,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,07774108b2bc1526,11,5,0,0,0,0,,0,14
3/24/2018 0:20,222.254.105.207,udp,500,static.vnpt.vn,isakmp-vulnerable,45899,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,05069d247fb53528,11,5,0,0,0,0,,0,14
3/24/2018 0:21,115.73.208.250,udp,500,,isakmp-vulnerable,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,3e35c70729dfedef,9d272e32975df62f,11,5,0,0,0,0,,0,14
3/24/2018 0:21,42.112.208.196,udp,500,gw.vietinaviva.vn,isakmp-vulnerable,18403,VN,HA NOI,HANOI,0,0,3e35c70729dfedef,7686648a222265ea,11,5,0,0,0,0,,0,14
3/24/2018 0:21,118.69.153.1,udp,500,,isakmp-vulnerable,18403,VN,HA NOI,HANOI,518111,737401,3e35c70729dfedef,fbd064c1e7355f66,11,5,0,0,0,0,,0,14
