timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,mdns_name,mdns_ipv4,mdns_ipv6,services,workstation_name,workstation_ipv4,workstation_ipv6,workstation_info,http_name,http_ipv4,http_ipv6,http_ptr,http_info,http_target,http_port
3/24/2018 7:59,103.47.194.154,udp,5353,static.ftech.vn,mdns,45538,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,sv.local.,103.47.194.154 103.47.194.153 103.47.194.152 103.47.194.151 103.47.194.150 103.47.194.149 103.47.194,,sv [00:50:56:8d:37:b4]._workstation._tcp.local.,,,,,,,
3/24/2018 7:59,113.161.101.108,udp,5353,static.vnpt.vn,mdns,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; _ssh._tcp.local.; ,VoIP-CC.local.,10.68.68.206,fe80:0:0:0:d2d0:fdff:fe09:57c6,VoIP-CC [d0:d0:fd:09:57:c6]._workstation._tcp.local.,,,,,,,
3/24/2018 8:00,113.171.23.40,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,VTN-ANTHINHPHAT.local.,10.0.0.116,,VTN-ANTHINHPHAT [02:00:08:12:00:02]._workstation._tcp.local.,,,,,,,
3/24/2018 8:00,116.118.112.45,udp,5353,,mdns,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_http._tcp.local.; ,,,,,,,,,,,
3/24/2018 8:00,113.160.148.215,udp,5353,static.vnpt.vn,mdns,45899,VN,VINH PHUC,VINH YEN,0,0,,,,_workstation._tcp.local.; _ssh._tcp.local.; ,linux.local.,192.168.1.187,fe80:0:0:0:215:5dff:fe01:b001,linux [00:15:5d:01:b0:01]._workstation._tcp.local.,,,,,,,
3/24/2018 8:01,221.132.18.183,udp,5353,asmpx.getnge.net,mdns,45899,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,dev-vsn1.local.,221.132.18.183,fe80:0:0:0:3a63:bbff:fe2c:40e4,dev-vsn1 [38:63:bb:2c:40:e4]._workstation._tcp.local.,,,,,,,
3/24/2018 8:01,125.212.227.21,udp,5353,,mdns,7552,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,vt1-lb1-waka.local.,125.212.227.21 125.212.227.6 125.212.227.7 125.212.227.9 125.212.227.10 125.212.227.30,fe80:0:0:0:d6ae:52ff:fec3:708d,vt1-lb1-waka [d4:ae:52:c3:70:8d]._workstation._tcp.local.,,,,,,,
3/24/2018 8:01,112.213.91.27,udp,5353,mx9127.superdata.vn,mdns,45544,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; ,vps87181-3.local.,112.213.91.27,fe80:0:0:0:250:56ff:feb8:7f43,vps87181-3 [00:50:56:b8:7f:43]._workstation._tcp.local.,,,,,,,
3/24/2018 8:01,14.235.192.131,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; _nut._tcp.local.; ,,,,,,,,,,,
3/24/2018 8:01,125.212.209.48,udp,5353,vt20948.server.idn.vn,mdns,38731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; ,vt20948.local.,125.212.209.48,,vt20948 [00:15:17:90:e1:4d]._workstation._tcp.local.,,,,,,,
