timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,opcode,errorcode,error,errormessage,size
3/24/2018 0:11,113.188.220.52,udp,52611,static.vnpt.vn,tftp,45899,VN,LAM DONG,DA LAT,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,14.239.87.81,udp,41814,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,14.161.215.240,udp,40551,static.vnpt.vn,tftp,45899,VN,AN GIANG,LONG AN,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,14.171.13.29,udp,39573,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,113.182.190.160,udp,69,static.vnpt.vn,tftp,45899,VN,TRA VINH,TRA VINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:11,14.172.192.65,udp,69,static.vnpt.vn,tftp,45899,VN,VINH LONG,TAN BINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:11,14.181.239.30,udp,46964,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,123.28.161.11,udp,69,localhost,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:11,14.187.246.225,udp,51455,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,123.23.32.189,udp,69,,tftp,45899,VN,HA NOI,HANOI,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:11,123.21.19.135,udp,43781,,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,113.167.176.21,udp,10219,static.vnpt.vn,tftp,45899,VN,LANG SON,LANG SON,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:11,14.175.13.104,udp,18619,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:11,125.212.228.176,udp,39467,,tftp,7552,VN,HA NOI,HANOI,0,0,5,1,File not found,File not found,19
3/24/2018 0:11,14.165.194.140,udp,34256,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,123.27.183.121,udp,69,localhost,tftp,45899,VN,HA NOI,HANOI,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:11,180.93.192.91,udp,69,,tftp,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:11,14.187.182.42,udp,53280,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,113.182.190.222,udp,69,static.vnpt.vn,tftp,45899,VN,TRA VINH,TRA VINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:11,113.181.27.111,udp,13214,static.vnpt.vn,tftp,45899,VN,BAC NINH,BAC NINH,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:11,222.253.168.238,udp,69,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:11,113.171.143.95,udp,18270,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:11,14.172.197.64,udp,69,static.vnpt.vn,tftp,45899,VN,VINH LONG,TAN BINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:11,113.173.102.118,udp,37716,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,14.168.204.246,udp,17737,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:11,14.234.111.42,udp,34491,static.vnpt.vn,tftp,45899,VN,HAU GIANG,PHUNG HIEP,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,14.169.1.185,udp,33225,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:11,203.162.37.187,udp,69,static.vnpt.vn,tftp,7643,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,1,File not found,No such file,17
3/24/2018 0:11,116.118.86.143,udp,69,,tftp,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,123.21.211.33,udp,34090,,tftp,45899,VN,HA NOI,HANOI,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,14.164.101.19,udp,52896,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,113.167.176.239,udp,69,static.vnpt.vn,tftp,45899,VN,LANG SON,LANG SON,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,113.166.54.194,udp,26414,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:12,14.187.46.190,udp,40025,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,202.151.171.3,udp,54502,3.171.151.202.static.hcmc.netnam.vn,tftp,24176,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,1,File not found,File not found,19
3/24/2018 0:12,123.26.64.128,udp,69,localhost,tftp,45899,VN,DA NANG,DA NANG,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,118.69.117.37,udp,24107,,tftp,18403,VN,HA NOI,HANOI,518111,737401,3,0,No Error,File Exists,516
3/24/2018 0:12,14.164.213.143,udp,69,static.vnpt.vn,tftp,45899,VN,BEN TRE,BEN TRE,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:12,113.160.178.3,udp,35245,static.vnpt.vn,tftp,45899,VN,NGHE AN,VINH,0,0,5,1,File not found,File not found,19
3/24/2018 0:12,123.22.246.47,udp,69,,tftp,45899,VN,CAN THO,CAN THO,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,221.132.35.9,udp,39473,,tftp,45899,VN,HA NOI,HANOI,0,0,5,1,File not found,File not found,19
3/24/2018 0:12,116.118.9.176,udp,69,,tftp,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,14.173.81.89,udp,69,static.vnpt.vn,tftp,45899,VN,TAY NINH,TAY NINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,113.173.66.64,udp,48529,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,14.231.73.95,udp,49208,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,113.165.49.250,udp,26853,static.vnpt.vn,tftp,45899,VN,BINH DINH,QUI NHON,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:12,123.28.248.243,udp,49361,localhost,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,116.118.81.5,udp,69,,tftp,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,14.186.201.205,udp,38492,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,116.118.6.164,udp,16758,,tftp,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:12,123.28.141.102,udp,69,localhost,tftp,45899,VN,HA NOI,HANOI,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,123.22.98.106,udp,69,,tftp,45899,VN,HA NOI,HANOI,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,14.173.207.54,udp,69,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,119.15.181.2,udp,18222,ci15.181-2.netnam.vn,tftp,24176,VN,HA NOI,HANOI,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:12,113.165.251.202,udp,36159,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,171.249.12.151,udp,11648,,tftp,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:12,14.175.62.43,udp,58290,static.vnpt.vn,tftp,45899,VN,BAC GIANG,BAC GIANG,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,123.28.141.155,udp,69,localhost,tftp,45899,VN,HA NOI,HANOI,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,222.255.236.113,udp,69,,tftp,7643,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,1,File not found,No such file,17
3/24/2018 0:12,123.28.143.77,udp,69,localhost,tftp,45899,VN,HA NOI,HANOI,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,222.252.84.75,udp,14102,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:12,116.118.39.133,udp,69,,tftp,7602,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,123.22.243.35,udp,69,,tftp,45899,VN,TRA VINH,TRA VINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,222.254.248.40,udp,69,static.vnpt.vn,tftp,45899,VN,BINH DUONG,THU DAU MOT,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,113.172.92.196,udp,37766,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,1,File not found,File not found,19
3/24/2018 0:12,123.28.120.69,udp,69,localhost,tftp,45899,VN,TRA VINH,TRA VINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,123.17.139.82,udp,69,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,123.20.80.194,udp,34136,,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,113.182.194.248,udp,39624,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,113.168.52.155,udp,69,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,14.169.229.252,udp,39507,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,113.168.51.242,udp,69,static.vnpt.vn,tftp,45899,VN,THUA THIEN-HUE,THON AN LAI,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,14.236.50.165,udp,48384,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,0,Not defined,Get not supported,22
3/24/2018 0:12,113.166.175.167,udp,13759,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,1,File not found,The file name is not supported.,36
3/24/2018 0:12,14.172.243.216,udp,69,static.vnpt.vn,tftp,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,5,2,Access violation,Access violation.,22
3/24/2018 0:12,222.253.25.168,udp,27446,static.vnpt.vn,tftp,45899,VN,HA NOI,HANOI,0,0,5,1,File not found,The file name is not supported.,36
