timestamp,ip,port,hostname,asn,geo,region,city,naics,sic,smb_implant,arch,key
3/24/2018 10:55,115.79.66.154,445,adsl.viettel.vn,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:55,113.161.179.48,445,static.vnpt.vn,45899,VN,TAY NINH,TAY NINH,0,0,N,,
3/24/2018 10:55,125.212.241.108,445,,38731,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:55,115.79.202.215,445,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:55,27.78.132.171,445,localhost,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:55,113.160.134.185,445,static.vnpt.vn,45899,VN,HUNG YEN,HUNG YEN,0,0,N,,
3/24/2018 10:55,14.181.133.74,445,static.vnpt.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:55,103.1.209.9,445,mail.vosahp.com.vn,38731,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:55,112.78.3.206,445,,45538,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:55,124.158.7.15,445,,38732,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:55,113.189.96.182,445,,45899,VN,KHANH HOA,NHA TRANG,0,0,N,,
3/24/2018 10:55,171.234.33.68,445,,7552,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:55,116.111.15.175,445,,24086,VN,QUANG NGAI,BINH THANH,0,0,N,,
3/24/2018 10:55,14.232.214.217,445,,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:55,113.161.57.243,445,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:55,125.212.252.144,445,,38731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:55,14.187.163.118,445,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:55,171.246.1.169,445,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:55,112.78.11.246,445,,45538,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:55,180.93.87.12,445,,7602,VN,CAN THO,CAN THO,0,0,N,,
3/24/2018 10:55,14.161.33.124,445,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:55,118.107.76.35,445,,38726,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,103.48.80.60,445,,135905,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,171.244.18.160,445,,38731,VN,NGHE AN,VINH,0,0,N,,
3/24/2018 10:56,14.190.236.62,445,,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,123.31.30.178,445,localhost,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,125.212.245.142,445,,38731,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,125.212.225.66,445,,7552,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,113.160.37.214,445,static.vnpt-hanoi.com.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,115.78.232.34,445,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:56,113.190.135.85,445,,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,210.211.119.152,445,,38731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:56,14.177.84.179,445,static.vnpt.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,113.160.96.72,445,static.vnpt.vn,45899,VN,HAI PHONG,HAI PHONG,0,0,N,,
3/24/2018 10:56,14.230.136.161,445,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:56,222.255.129.133,445,static.vnpt.vn,45899,VN,DA NANG,DA NANG,0,0,N,,
3/24/2018 10:56,113.163.159.173,445,static.vnpt.vn,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:56,113.176.14.60,445,static.vnpt.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,210.211.109.143,445,ptr.viettelidc.com.vn,38731,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,113.164.233.190,445,static.vnpt.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,124.158.4.30,445,,38732,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,210.86.239.146,445,,24176,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:56,113.160.158.94,445,static.vnpt.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,125.214.0.118,445,,24086,VN,THAI NGUYEN,THAI NGUYEN,0,0,N,,
3/24/2018 10:56,103.200.20.130,445,,45538,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,115.74.176.89,445,adsl.viettel.vn,7552,VN,CAN THO,CAN THO,0,0,N,,
3/24/2018 10:56,115.74.25.158,445,adsl.viettel.vn,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:56,123.31.45.250,445,localhost,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,123.30.212.222,445,static.vnpt.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,125.212.252.72,445,,38731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:56,14.162.144.31,445,,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,180.93.7.77,445,,7602,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,123.31.25.100,445,localhost,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,27.72.149.10,445,,7552,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,123.30.211.201,445,,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,171.244.4.171,445,,38731,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,113.160.166.51,445,,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,171.246.140.181,445,,7552,VN,HA NOI,HANOI,0,0,Y,x64,0xfd9238d5
3/24/2018 10:56,123.30.180.80,445,dailong.vn,45899,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,171.244.10.70,445,,38731,VN,HA NOI,HANOI,0,0,N,,
3/24/2018 10:56,115.78.212.75,445,,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,N,,
3/24/2018 10:56,113.161.218.115,445,static.vnpt.vn,45899,VN,AN GIANG,LONG XUYEN,0,0,N,,
